country,year,SH.XPD.CHEX.GD.ZS
Afghanistan,2017,11.77723598
Albania,2017,5.01059723
Algeria,2017,6.38032866
American Samoa,2017,
Andorra,2017,6.54431868
Angola,2017,2.79150295
Antigua and Barbuda,2017,5.17094231
Argentina,2017,10.45704365
Armenia,2017,10.36270523
Aruba,2017,
Australia,2017,9.20544815
Austria,2017,10.38262367
Azerbaijan,2017,3.73651457
"Bahamas, The",2017,6.83129883
Bahrain,2017,4.74813128
Bangladesh,2017,2.27522182
Barbados,2017,6.62216997
Belarus,2017,5.75974846
Belgium,2017,10.40608311
Belize,2017,5.70125389
Benin,2017,2.6444838
Bermuda,2017,
Bhutan,2017,3.24491644
Bolivia,2017,6.4901948
Bosnia and Herzegovina,2017,8.93159008
Botswana,2017,6.13456821
Brazil,2017,9.46933746
British Virgin Islands,2017,
Brunei Darussalam,2017,2.27036428
Bulgaria,2017,7.45326805
Burkina Faso,2017,6.91190195
Burundi,2017,7.51763725
Cabo Verde,2017,5.36013222
Cambodia,2017,5.928473
Cameroon,2017,3.4925251
Canada,2017,10.78964806
Cayman Islands,2017,
Central African Republic,2017,6.66541529
Chad,2017,4.40445328
Channel Islands,2017,
Chile,2017,9.06820488
China,2017,5.15119171
Colombia,2017,7.67864275
Comoros,2017,4.64801407
"Congo, Dem. Rep.",2017,4.15728664
"Congo, Rep.",2017,2.93953753
Costa Rica,2017,7.32879639
Cote d'Ivoire,2017,4.45303488
Croatia,2017,6.77827311
Cuba,2017,11.7113266
Curacao,2017,
Cyprus,2017,6.73828936
Czech Republic,2017,7.23133898
Denmark,2017,10.03963375
Djibouti,2017,2.46476316
Dominica,2017,5.44028521
Dominican Republic,2017,5.83058691
Ecuador,2017,8.25742912
"Egypt, Arab Rep.",2017,5.63305616
El Salvador,2017,7.22756004
Equatorial Guinea,2017,3.01081419
Eritrea,2017,3.76475835
Estonia,2017,6.59183788
Eswatini,2017,6.91085625
Ethiopia,2017,3.50331593
Faroe Islands,2017,
Fiji,2017,3.18689561
Finland,2017,9.14156628
France,2017,11.39050198
French Polynesia,2017,
Gabon,2017,2.78074527
"Gambia, The",2017,3.34084225
Georgia,2017,7.05804443
