Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2015,201501,Jan-15,4,0,1,Imports,800,Uganda,,0,World,,,,,,,,,401,"Milk and cream, neither concentrated nor sweetened",,,,,,,4411,,3671,,,0
HS,2015,201501,Jan-15,4,0,2,Exports,800,Uganda,,0,World,,,,,,,,,401,"Milk and cream, neither concentrated nor sweetened",,,,,,,377008,,473724,,,0
HS,2015,201501,Jan-15,4,0,2,Exports,800,Uganda,,108,Burundi,,,,,,,,,401,"Milk and cream, neither concentrated nor sweetened",,,,,,,23652,,19996,,,0
HS,2015,201501,Jan-15,4,0,1,Imports,800,Uganda,,208,Denmark,,,,,,,,,401,"Milk and cream, neither concentrated nor sweetened",,,,,,,1965,,1234,,,0
HS,2015,201501,Jan-15,4,0,1,Imports,800,Uganda,,251,France,,,,,,,,,401,"Milk and cream, neither concentrated nor sweetened",,,,,,,877,,715,,,0
HS,2015,201501,Jan-15,4,0,2,Exports,800,Uganda,,646,Rwanda,,,,,,,,,401,"Milk and cream, neither concentrated nor sweetened",,,,,,,96696,,89479,,,0
HS,2015,201501,Jan-15,4,0,1,Imports,800,Uganda,,710,South Africa,,,,,,,,,401,"Milk and cream, neither concentrated nor sweetened",,,,,,,493,,242,,,0
HS,2015,201501,Jan-15,4,0,2,Exports,800,Uganda,,728,South Sudan,,,,,,,,,401,"Milk and cream, neither concentrated nor sweetened",,,,,,,256660,,364249,,,0
HS,2015,201501,Jan-15,4,0,1,Imports,800,Uganda,,784,United Arab Emirates,,,,,,,,,401,"Milk and cream, neither concentrated nor sweetened",,,,,,,1076,,1479,,,0
HS,2015,201502,Feb-15,4,0,1,Imports,800,Uganda,,0,World,,,,,,,,,401,"Milk and cream, neither concentrated nor sweetened",,,,,,,75022,,54803,,,0
HS,2015,201502,Feb-15,4,0,2,Exports,800,Uganda,,0,World,,,,,,,,,401,"Milk and cream, neither concentrated nor sweetened",,,,,,,248918,,260899,,,0
HS,2015,201502,Feb-15,4,0,2,Exports,800,Uganda,,108,Burundi,,,,,,,,,401,"Milk and cream, neither concentrated nor sweetened",,,,,,,34452,,28486,,,0
HS,2015,201502,Feb-15,4,0,1,Imports,800,Uganda,,156,China,,,,,,,,,401,"Milk and cream, neither concentrated nor sweetened",,,,,,,200,,463,,,0
HS,2015,201502,Feb-15,4,0,2,Exports,800,Uganda,,180,Dem.Rep. of the Congo,,,,,,,,,401,"Milk and cream, neither concentrated nor sweetened",,,,,,,3336,,4619,,,0
HS,2015,201502,Feb-15,4,0,1,Imports,800,Uganda,,404,Kenya,,,,,,,,,401,"Milk and cream, neither concentrated nor sweetened",,,,,,,72666,,52326,,,0
HS,2015,201502,Feb-15,4,0,2,Exports,800,Uganda,,646,Rwanda,,,,,,,,,401,"Milk and cream, neither concentrated nor sweetened",,,,,,,54900,,40316,,,0
HS,2015,201502,Feb-15,4,0,1,Imports,800,Uganda,,699,India,,,,,,,,,401,"Milk and cream, neither concentrated nor sweetened",,,,,,,172,,98,,,0
HS,2015,201502,Feb-15,4,0,1,Imports,800,Uganda,,710,South Africa,,,,,,,,,401,"Milk and cream, neither concentrated nor sweetened",,,,,,,386,,427,,,0
HS,2015,201502,Feb-15,4,0,2,Exports,800,Uganda,,728,South Sudan,,,,,,,,,401,"Milk and cream, neither concentrated nor sweetened",,,,,,,156230,,187478,,,0
HS,2015,201502,Feb-15,4,0,1,Imports,800,Uganda,,784,United Arab Emirates,,,,,,,,,401,"Milk and cream, neither concentrated nor sweetened",,,,,,,1598,,1489,,,0
HS,2015,201501,Jan-15,4,0,1,Imports,800,Uganda,,0,World,,,,,,,,,402,"Milk and cream, concentrated or sweetened",,,,,,,53531,,49188,,,0
HS,2015,201501,Jan-15,4,0,1,Imports,800,Uganda,,404,Kenya,,,,,,,,,402,"Milk and cream, concentrated or sweetened",,,,,,,60,,180,,,0
HS,2015,201501,Jan-15,4,0,1,Imports,800,Uganda,,458,Malaysia,,,,,,,,,402,"Milk and cream, concentrated or sweetened",,,,,,,42064,,19080,,,0
HS,2015,201501,Jan-15,4,0,1,Imports,800,Uganda,,710,South Africa,,,,,,,,,402,"Milk and cream, concentrated or sweetened",,,,,,,309,,1503,,,0
HS,2015,201501,Jan-15,4,0,1,Imports,800,Uganda,,764,Thailand,,,,,,,,,402,"Milk and cream, concentrated or sweetened",,,,,,,204,,1,,,0
HS,2015,201501,Jan-15,4,0,1,Imports,800,Uganda,,784,United Arab Emirates,,,,,,,,,402,"Milk and cream, concentrated or sweetened",,,,,,,10812,,27953,,,0
HS,2015,201501,Jan-15,4,0,1,Imports,800,Uganda,,826,United Kingdom,,,,,,,,,402,"Milk and cream, concentrated or sweetened",,,,,,,82,,472,,,0
HS,2015,201501,Jan-15,4,0,2,Exports,800,Uganda,,728,South Sudan,,,,,,,,,402,"Milk and cream, concentrated or sweetened",,,,,,,99815,,222078,,,0
HS,2015,201501,Jan-15,4,0,2,Exports,800,Uganda,,646,Rwanda,,,,,,,,,402,"Milk and cream, concentrated or sweetened",,,,,,,10296,,28170,,,0
HS,2015,201501,Jan-15,4,0,2,Exports,800,Uganda,,706,Somalia,,,,,,,,,402,"Milk and cream, concentrated or sweetened",,,,,,,1000,,152,,,0
HS,2015,201501,Jan-15,4,0,2,Exports,800,Uganda,,404,Kenya,,,,,,,,,402,"Milk and cream, concentrated or sweetened",,,,,,,50000,,164116,,,0
HS,2015,201501,Jan-15,4,0,2,Exports,800,Uganda,,0,World,,,,,,,,,402,"Milk and cream, concentrated or sweetened",,,,,,,207165,,523883,,,0
HS,2015,201501,Jan-15,4,0,2,Exports,800,Uganda,,108,Burundi,,,,,,,,,402,"Milk and cream, concentrated or sweetened",,,,,,,50,,192,,,0
HS,2015,201501,Jan-15,4,0,2,Exports,800,Uganda,,180,Dem.Rep. of the Congo,,,,,,,,,402,"Milk and cream, concentrated or sweetened",,,,,,,21004,,9533,,,0
HS,2015,201501,Jan-15,4,0,2,Exports,800,Uganda,,392,Japan,,,,,,,,,402,"Milk and cream, concentrated or sweetened",,,,,,,25000,,99642,,,0
HS,2015,201502,Feb-15,4,0,1,Imports,800,Uganda,,0,World,,,,,,,,,402,"Milk and cream, concentrated or sweetened",,,,,,,47992,,108845,,,0
HS,2015,201502,Feb-15,4,0,1,Imports,800,Uganda,,404,Kenya,,,,,,,,,402,"Milk and cream, concentrated or sweetened",,,,,,,24210,,24534,,,0
HS,2015,201502,Feb-15,4,0,1,Imports,800,Uganda,,512,Oman,,,,,,,,,402,"Milk and cream, concentrated or sweetened",,,,,,,18515,,64800,,,0
HS,2015,201502,Feb-15,4,0,1,Imports,800,Uganda,,528,Netherlands,,,,,,,,,402,"Milk and cream, concentrated or sweetened",,,,,,,10,,60,,,0
HS,2015,201502,Feb-15,4,0,1,Imports,800,Uganda,,710,South Africa,,,,,,,,,402,"Milk and cream, concentrated or sweetened",,,,,,,1191,,3588,,,0
